"ORDER_ID","CUSTOMER_ID","PRODUCT_ID","ORDER_DATE","SHIPPED_DATE","DELIVERY_DATE","QUANTITY","STATUS","COURIER_PARTNER","EXP_REJECT_REASON"
360840,1013,"P_003","2025-08-05","2025-08-06","2025-08-07",4,"InTransit","XpressBees","Status Not"
343709,1005,"P_003","2025-03-25","2025-03-25","2025-03-27",4,"InTransit","XpressBees","Status Not"
344391,1030,"P_012","2025-03-17","2025-03-22","2025-03-23",2,"InTransit","BlueDart","Status Not"
329792,1003,"P_011","2024-12-28","2025-01-02","2025-01-07",1,"InTransit","BlueDart","Status Not"
343676,1006,"P_003","2025-03-07","2025-03-08","2025-03-09",3,"InTransit","Delhivery","Status Not"
376796,1015,"P_013","2025-12-12","2025-12-17","",5,"InTransit","DTDC","Status Not"
311656,1018,"P_001","2024-07-18","2024-07-22","",3,"InTransit","BlueDart","Status Not"
347301,1003,"P_016","2025-04-10","2025-04-10","2025-04-18",1,"InTransit","EcomExpress","Status Not"
382568,1043,"P_002","2026-01-03","2026-01-05","2026-01-12",1,"InTransit","DTDC","Status Not"
334722,1044,"P_020","2025-01-28","2025-01-28","2025-01-30",5,"InTransit","BlueDart","Status Not"
313665,1013,"P_012","2024-07-22","2024-07-25","2024-08-02",1,"InTransit","BlueDart","Status Not"
335720,1047,"P_007","2025-01-18","2025-01-21","",3,"InTransit","BlueDart","Status Not"
317541,1026,"P_006","2024-08-09","2024-08-13","2024-08-22",1,"InTransit","EcomExpress","Status Not"
343259,1044,"P_014","2025-03-24","2025-03-29","",1,"InTransit","EcomExpress","Status Not"
317449,1041,"P_010","2024-08-13","2024-08-15","2024-08-22",4,"InTransit","XpressBees","Status Not"
342908,1014,"P_004","2025-03-13","2025-03-15","2025-03-22",5,"InTransit","EcomExpress","Status Not"
357727,1031,"P_008","2025-07-19","2025-07-24","2025-08-03",2,"InTransit","XpressBees","Status Not"
378654,1027,"P_007","2025-12-20","2025-12-21","2025-12-27",2,"InTransit","XpressBees","Status Not"
374825,1037,"P_003","2025-11-17","2025-11-20","2025-11-23",5,"InTransit","DTDC","Status Not"
329013,1026,"P_019","2024-11-11","2024-11-13","2024-11-15",2,"InTransit","DTDC","Status Not"
312595,1017,"P_012","2024-07-03","2024-07-03","2024-07-05",3,"InTransit","BlueDart","Status Not"
378440,1015,"P_007","2025-12-25","2025-12-25","2025-12-30",3,"InTransit","XpressBees","Status Not"
373900,1041,"P_013","2025-11-26","2025-11-29","2025-12-02",2,"InTransit","BlueDart","Status Not"
301178,1014,"P_013","2024-04-16","2024-04-20","2024-04-24",5,"InTransit","Delhivery","Status Not"
337187,1011,"P_016","2025-01-31","2025-02-02","2025-02-03",2,"InTransit","XpressBees","Status Not"
378602,1018,"P_011","2025-12-02","2025-12-04","2025-12-14",2,"InTransit","BlueDart","Status Not"
314831,1022,"P_014","2024-08-15","2024-08-16","2024-08-21",5,"InTransit","DTDC","Status Not"
302009,1023,"P_014","2024-04-05","2024-04-09","2024-04-12",1,"InTransit","BlueDart","Status Not"
369384,1019,"P_019","2025-10-23","2025-10-27","2025-11-01",5,"InTransit","DTDC","Status Not"
324284,1026,"P_016","2024-10-30","2024-11-01","",4,"InTransit","EcomExpress","Status Not"
318981,1037,"P_009","2024-09-25","2024-09-26","2024-10-04",3,"InTransit","Delhivery","Status Not"
349081,1018,"P_009","2025-04-28","2025-05-03","2025-05-05",2,"InTransit","Delhivery","Status Not"
352576,1038,"P_009","2025-05-14","2025-05-18","2025-05-21",2,"InTransit","EcomExpress","Status Not"
353154,1026,"P_014","2025-05-18","2025-05-21","2025-05-30",5,"InTransit","EcomExpress","Status Not"
373120,1033,"P_020","2025-11-05","2025-11-06","2025-11-07",3,"InTransit","DTDC","Status Not"
328180,1016,"P_002","2024-11-28","2024-11-29","2024-12-06",2,"InTransit","EcomExpress","Status Not"
376483,1040,"P_012","2025-12-05","2025-12-06","2025-12-16",1,"InTransit","XpressBees","Status Not"
329548,1005,"P_015","2024-12-24","2024-12-29","",2,"InTransit","Delhivery","Status Not"
375513,1013,"P_004","2025-11-13","2025-11-17","2025-11-23",4,"InTransit","EcomExpress","Status Not"
346104,1036,"P_015","2025-04-27","2025-04-29","2025-05-05",5,"InTransit","XpressBees","Status Not"
310160,1011,"P_018","2024-06-26","2024-06-26","",5,"InTransit","XpressBees","Status Not"
376105,1036,"P_014","2025-12-28","2026-01-02","2026-01-11",4,"InTransit","BlueDart","Status Not"
387519,1049,"P_003","2026-03-17","2026-03-22","2026-03-30",3,"InTransit","BlueDart","Status Not"
354918,1024,"P_020","2025-06-05","2025-06-06","",1,"InTransit","DTDC","Status Not"
369380,1021,"P_005","2025-10-01","2025-10-05","2025-10-11",4,"InTransit","DTDC","Status Not"
320358,1042,"P_009","2024-09-22","2024-09-26","2024-10-02",2,"InTransit","EcomExpress","Status Not"
383643,1032,"P_020","2026-02-09","2026-02-09","2026-02-16",2,"InTransit","XpressBees","Status Not"
366626,1020,"P_001","2025-09-10","2025-09-10","2025-09-15",3,"InTransit","EcomExpress","Status Not"
355910,1017,"P_007","2025-06-13","2025-06-17","2025-06-26",1,"InTransit","DTDC","Status Not"
365603,1032,"P_006","2025-09-07","2025-09-10","2025-09-16",5,"InTransit","EcomExpress","Status Not"
341649,1049,"P_004","2025-03-03","2025-03-06","2025-03-15",5,"InTransit","BlueDart","Status Not"
377551,1018,"P_011","2025-12-29","2026-01-01","2026-01-10",4,"InTransit","Delhivery","Status Not"
371299,1006,"P_005","2025-10-03","2025-10-04","2025-10-10",2,"InTransit","BlueDart","Status Not"
388315,1022,"P_007","2026-03-21","2026-03-22","2026-03-29",3,"InTransit","DTDC","Status Not"
351625,1001,"P_013","2025-05-10","2025-05-11","2025-05-12",3,"InTransit","Delhivery","Status Not"
342676,1038,"P_001","2025-03-18","2025-03-22","2025-03-29",3,"InTransit","EcomExpress","Status Not"
320648,1041,"P_011","2024-09-19","2024-09-20","2024-09-25",4,"InTransit","XpressBees","Status Not"
380654,1006,"P_005","2026-01-09","2026-01-12","2026-01-14",3,"InTransit","BlueDart","Status Not"
365208,1022,"P_001","2025-09-18","2025-09-20","2025-09-30",3,"InTransit","BlueDart","Status Not"
349557,1035,"P_004","2025-05-21","2025-05-22","2025-05-29",3,"InTransit","BlueDart","Status Not"
367443,1003,"P_004","2025-09-11","2025-09-11","2025-09-16",2,"InTransit","EcomExpress","Status Not"
332793,1015,"P_005","2024-12-08","2024-12-08","2024-12-10",1,"InTransit","EcomExpress","Status Not"
342865,1010,"P_016","2025-03-05","2025-03-06","2025-03-12",2,"InTransit","BlueDart","Status Not"
331329,1036,"P_018","2024-12-31","2025-01-04","2025-01-14",5,"InTransit","Delhivery","Status Not"
302194,1015,"P_018","2024-04-20","2024-04-21","2024-04-29",4,"InTransit","Delhivery","Status Not"
367005,1014,"P_006","2025-09-27","2025-09-30","2025-10-08",4,"InTransit","Delhivery","Status Not"
356461,1012,"P_019","2025-06-17","2025-06-18","2025-06-24",2,"InTransit","EcomExpress","Status Not"
366703,1048,"P_013","2025-09-25","2025-09-28","2025-10-06",1,"InTransit","XpressBees","Status Not"
317920,1021,"P_010","2024-08-26","2024-08-26","2024-08-29",4,"InTransit","BlueDart","Status Not"
305305,1021,"P_016","2024-05-29","2024-05-29","2024-06-08",3,"InTransit","Delhivery","Status Not"
306567,1005,"P_007","2024-05-23","2024-05-24","",5,"InTransit","Delhivery","Status Not"
382732,1020,"P_017","2026-01-23","2026-01-28","2026-02-02",5,"InTransit","BlueDart","Status Not"
323058,1046,"P_005","2024-10-26","2024-10-28","2024-11-03",4,"InTransit","XpressBees","Status Not"
302906,1001,"P_001","2024-04-25","2024-04-26","2024-05-01",4,"InTransit","BlueDart","Status Not"
374624,1017,"P_014","2025-11-22","2025-11-25","2025-11-29",5,"InTransit","EcomExpress","Status Not"
383370,1031,"P_001","2026-02-07","2026-02-09","2026-02-15",1,"InTransit","Delhivery","Status Not"
309826,1023,"P_020","2024-06-11","2024-06-12","2024-06-19",5,"InTransit","BlueDart","Status Not"
333349,1012,"P_001","2024-12-21","2024-12-26","2025-01-03",4,"InTransit","Delhivery","Status Not"
385747,1006,"P_011","2026-02-05","2026-02-10","2026-02-14",1,"InTransit","EcomExpress","Status Not"
331690,1004,"P_008","2024-12-20","2024-12-25","2024-12-29",5,"InTransit","BlueDart","Status Not"
321456,1033,"P_005","2024-09-22","2024-09-25","2024-10-03",2,"InTransit","BlueDart","Status Not"
339727,1046,"P_020","2025-02-06","2025-02-11","2025-02-16",1,"InTransit","XpressBees","Status Not"
359565,1023,"P_003","2025-07-31","2025-07-31","2025-08-07",1,"InTransit","XpressBees","Status Not"
371487,1005,"P_013","2025-10-20","2025-10-20","2025-10-25",5,"InTransit","BlueDart","Status Not"
387712,1033,"P_007","2026-03-20","2026-03-20","2026-03-30",5,"InTransit","EcomExpress","Status Not"
308375,1020,"P_010","2024-06-13","2024-06-18","2024-06-28",3,"InTransit","XpressBees","Status Not"
300085,1015,"P_005","2024-04-14","2024-04-16","",1,"InTransit","XpressBees","Status Not"
344061,1016,"P_016","2025-03-02","2025-03-03","2025-03-05",1,"InTransit","BlueDart","Status Not"
307927,1033,"P_015","2024-06-14","2024-06-17","2024-06-18",2,"InTransit","DTDC","Status Not"
348185,1024,"P_007","2025-04-18","2025-04-22","",3,"InTransit","EcomExpress","Status Not"
309773,1029,"P_014","2024-06-03","2024-06-06","2024-06-10",5,"InTransit","BlueDart","Status Not"
336307,1038,"P_020","2025-01-14","2025-01-18","2025-01-28",3,"InTransit","EcomExpress","Status Not"
354099,1044,"P_007","2025-06-28","2025-07-02","2025-07-03",2,"InTransit","XpressBees","Status Not"
338877,1008,"P_019","2025-02-15","2025-02-15","",1,"InTransit","XpressBees","Status Not"
376002,1022,"P_008","2025-12-13","2025-12-15","2025-12-23",3,"InTransit","EcomExpress","Status Not"
327190,1042,"P_020","2024-11-02","2024-11-07","2024-11-10",1,"InTransit","Delhivery","Status Not"
383108,1037,"P_002","2026-01-18","2026-01-22","2026-01-26",1,"InTransit","XpressBees","Status Not"
313591,1006,"P_017","2024-07-14","2024-07-14","2024-07-23",4,"InTransit","DTDC","Status Not"
300701,1016,"P_008","2024-04-23","2024-04-25","2024-05-05",5,"InTransit","Delhivery","Status Not"
328781,1039,"P_006","2024-11-26","2024-12-01","2024-12-02",3,"InTransit","EcomExpress","Status Not"
365142,1029,"P_019","2025-09-18","2025-09-22","2025-09-27",2,"InTransit","DTDC","Status Not"
387946,1050,"P_015","2026-03-23","2026-03-27","2026-04-03",4,"InTransit","BlueDart","Status Not"
310287,1035,"P_001","2024-06-10","2024-06-13","2024-06-14",4,"InTransit","Delhivery","Status Not"
370576,1008,"P_018","2025-10-28","2025-10-28","2025-10-30",5,"InTransit","BlueDart","Status Not"
367062,1018,"P_004","2025-09-13","2025-09-18","2025-09-19",4,"InTransit","EcomExpress","Status Not"
360301,1007,"P_003","2025-07-10","2025-07-13","2025-07-21",5,"InTransit","DTDC","Status Not"
333273,1025,"P_012","2024-12-14","2024-12-16","2024-12-26",4,"InTransit","BlueDart","Status Not"
322192,1035,"P_008","2024-09-25","2024-09-30","2024-10-01",2,"InTransit","EcomExpress","Status Not"
374121,1037,"P_010","2025-11-26","2025-11-26","2025-12-03",2,"InTransit","Delhivery","Status Not"
383412,1004,"P_019","2026-02-03","2026-02-06","2026-02-10",4,"InTransit","DTDC","Status Not"
329496,1016,"P_007","2024-12-17","2024-12-22","2024-12-30",3,"InTransit","Delhivery","Status Not"
353272,1049,"P_009","2025-05-23","2025-05-28","2025-05-31",1,"InTransit","DTDC","Status Not"
368178,1009,"P_008","2025-10-01","2025-10-04","2025-10-12",3,"InTransit","EcomExpress","Status Not"
389095,1031,"P_017","2026-03-11","2026-03-12","2026-03-16",1,"InTransit","XpressBees","Status Not"
330713,1031,"P_018","2024-12-06","2024-12-10","2024-12-18",1,"InTransit","BlueDart","Status Not"
348836,1004,"P_006","2025-04-01","2025-04-05","2025-04-07",4,"InTransit","XpressBees","Status Not"
328956,1009,"P_001","2024-11-30","2024-12-01","2024-12-10",5,"InTransit","DTDC","Status Not"
312024,1032,"P_020","2024-07-04","2024-07-04","2024-07-10",3,"InTransit","Delhivery","Status Not"
318906,1030,"P_016","2024-09-15","2024-09-20","2024-09-22",3,"InTransit","Delhivery","Status Not"
309461,1011,"P_009","2024-06-06","2024-06-07","2024-06-17",4,"InTransit","Delhivery","Status Not"
364291,1018,"P_011","2025-08-25","2025-08-25","2025-09-03",3,"InTransit","XpressBees","Status Not"
305192,1034,"P_006","2024-05-17","2024-05-21","2024-05-27",3,"InTransit","Delhivery","Status Not"
368731,1016,"P_009","2025-10-06","2025-10-08","",2,"InTransit","XpressBees","Status Not"
358984,1019,"P_010","2025-07-03","2025-07-06","2025-07-14",3,"InTransit","BlueDart","Status Not"
378951,1001,"P_004","2025-12-01","2025-12-03","2025-12-12",1,"InTransit","XpressBees","Status Not"
345064,1009,"P_014","2025-03-30","2025-04-01","2025-04-05",5,"InTransit","XpressBees","Status Not"
333549,1027,"P_010","2025-01-19","2025-01-23","2025-01-26",2,"InTransit","Delhivery","Status Not"
339355,1040,"P_002","2025-02-28","2025-03-03","2025-03-13",1,"InTransit","EcomExpress","Status Not"
340925,1047,"P_014","2025-02-26","2025-03-03","2025-03-06",4,"InTransit","BlueDart","Status Not"
328722,1005,"P_016","2024-11-02","2024-11-04","2024-11-14",1,"InTransit","BlueDart","Status Not"
351844,1018,"P_004","2025-05-07","2025-05-10","2025-05-14",5,"InTransit","BlueDart","Status Not"
337463,1035,"P_014","2025-02-01","2025-02-02","",5,"InTransit","DTDC","Status Not"
360276,1016,"P_014","2025-07-11","2025-07-15","2025-07-25",1,"InTransit","XpressBees","Status Not"
387722,1035,"P_007","2026-03-02","2026-03-04","2026-03-08",1,"InTransit","DTDC","Status Not"
302298,1009,"P_010","2024-04-04","2024-04-07","2024-04-15",2,"InTransit","BlueDart","Status Not"
341669,1042,"P_002","2025-03-26","2025-03-26","2025-03-29",1,"InTransit","Delhivery","Status Not"
354130,1031,"P_011","2025-06-24","2025-06-25","2025-06-28",3,"InTransit","Delhivery","Status Not"
357388,1045,"P_016","2025-07-27","2025-08-01","2025-08-04",4,"InTransit","Delhivery","Status Not"
349426,1035,"P_007","2025-05-22","2025-05-26","2025-06-05",1,"InTransit","EcomExpress","Status Not"
356526,1027,"P_014","2025-06-22","2025-06-26","2025-06-29",2,"InTransit","DTDC","Status Not"
306428,1029,"P_007","2024-05-21","2024-05-22","2024-05-25",4,"InTransit","BlueDart","Status Not"
310575,1007,"P_006","2024-06-30","2024-07-01","2024-07-09",2,"InTransit","XpressBees","Status Not"
351067,1019,"P_002","2025-05-25","2025-05-26","2025-05-27",5,"InTransit","BlueDart","Status Not"
359085,1021,"P_003","2025-07-31","2025-08-01","2025-08-07",4,"InTransit","Delhivery","Status Not"
313484,1048,"P_017","2024-07-31","2024-08-04","2024-08-10",1,"InTransit","EcomExpress","Status Not"
382877,1040,"P_017","2026-01-10","2026-01-12","2026-01-17",3,"InTransit","XpressBees","Status Not"
371854,1006,"P_009","2025-10-21","2025-10-25","2025-10-29",2,"InTransit","EcomExpress","Status Not"
309292,1010,"P_019","2024-06-13","2024-06-17","2024-06-23",3,"InTransit","BlueDart","Status Not"
327700,1050,"P_002","2024-11-17","2024-11-20","",2,"InTransit","DTDC","Status Not"
337063,1024,"P_010","2025-01-09","2025-01-13","2025-01-21",3,"InTransit","Delhivery","Status Not"
352240,1021,"P_001","2025-05-20","2025-05-23","2025-05-26",5,"InTransit","BlueDart","Status Not"
380314,1027,"P_007","2026-01-09","2026-01-12","2026-01-17",4,"InTransit","DTDC","Status Not"
333306,1039,"P_011","2024-12-22","2024-12-26","2025-01-02",3,"InTransit","Delhivery","Status Not"
322182,1006,"P_005","2024-09-15","2024-09-16","2024-09-17",3,"InTransit","Delhivery","Status Not"
380250,1040,"P_005","2026-01-12","2026-01-15","2026-01-25",5,"InTransit","DTDC","Status Not"
339489,1050,"P_008","2025-02-01","2025-02-05","2025-02-11",1,"InTransit","DTDC","Status Not"
320544,1032,"P_008","2024-09-27","2024-09-29","2024-10-08",1,"InTransit","EcomExpress","Status Not"
305186,1003,"P_009","2024-05-27","2024-05-28","",3,"InTransit","EcomExpress","Status Not"
367736,1041,"P_017","2025-09-25","2025-09-28","2025-09-29",4,"InTransit","BlueDart","Status Not"
321928,1042,"P_009","2024-09-16","2024-09-21","2024-09-29",2,"InTransit","BlueDart","Status Not"
333381,1020,"P_006","2024-12-26","2024-12-26","2024-12-30",5,"InTransit","XpressBees","Status Not"
386193,1020,"P_003","2026-02-11","2026-02-15","",2,"InTransit","Delhivery","Status Not"
343567,1031,"P_020","2025-03-21","2025-03-26","2025-04-04",2,"InTransit","XpressBees","Status Not"
379113,1007,"P_008","2025-12-07","2025-12-11","2025-12-15",3,"InTransit","EcomExpress","Status Not"
381143,1047,"P_007","2026-01-30","2026-02-01","2026-02-10",5,"InTransit","BlueDart","Status Not"
341526,1008,"P_007","2025-03-01","2025-03-04","2025-03-12",2,"InTransit","XpressBees","Status Not"
366390,1003,"P_003","2025-09-20","2025-09-23","2025-09-24",3,"InTransit","DTDC","Status Not"
310059,1029,"P_003","2024-06-24","2024-06-25","2024-07-01",3,"InTransit","Delhivery","Status Not"
374185,1002,"P_015","2025-11-29","2025-12-03","2025-12-09",5,"InTransit","EcomExpress","Status Not"
334988,1043,"P_014","2025-01-22","2025-01-26","2025-02-02",2,"InTransit","XpressBees","Status Not"
331893,1043,"P_007","2024-12-29","2025-01-02","2025-01-08",5,"InTransit","EcomExpress","Status Not"
331490,1011,"P_016","2024-12-21","2024-12-26","2025-01-02",4,"InTransit","DTDC","Status Not"
317777,1036,"P_019","2024-08-22","2024-08-24","2024-08-31",1,"InTransit","Delhivery","Status Not"
301525,1043,"P_005","2024-04-02","2024-04-05","2024-04-06",4,"InTransit","XpressBees","Status Not"
322033,1005,"P_017","2024-09-13","2024-09-18","2024-09-21",1,"InTransit","BlueDart","Status Not"
341443,1030,"P_008","2025-03-15","2025-03-19","2025-03-22",1,"InTransit","XpressBees","Status Not"
383750,1044,"P_015","2026-02-20","2026-02-25","",3,"InTransit","BlueDart","Status Not"
378451,1020,"P_019","2025-12-07","2025-12-11","2025-12-17",5,"InTransit","EcomExpress","Status Not"
318049,1035,"P_012","2024-08-08","2024-08-08","2024-08-10",4,"InTransit","Delhivery","Status Not"
390092,1010,"P_017","2026-03-23","2026-03-26","2026-03-30",3,"InTransit","XpressBees","Status Not"
368398,1007,"P_016","2025-10-13","2025-10-16","2025-10-22",3,"InTransit","BlueDart","Status Not"
382109,1018,"P_010","2026-01-15","2026-01-20","2026-01-30",3,"InTransit","XpressBees","Status Not"
319276,1028,"P_007","2024-09-21","2024-09-22","2024-10-02",5,"InTransit","BlueDart","Status Not"
338216,1033,"P_009","2025-02-13","2025-02-16","2025-02-22",1,"InTransit","XpressBees","Status Not"
330715,1035,"P_005","2024-12-30","2025-01-04","2025-01-13",5,"InTransit","XpressBees","Status Not"
313063,1003,"P_017","2024-07-16","2024-07-18","",3,"InTransit","Delhivery","Status Not"
323493,1016,"P_018","2024-10-11","2024-10-16","2024-10-18",2,"InTransit","DTDC","Status Not"
329102,1026,"P_010","2024-11-10","2024-11-10","2024-11-15",5,"InTransit","BlueDart","Status Not"
385786,1045,"P_007","2026-02-18","2026-02-18","2026-02-22",2,"InTransit","Delhivery","Status Not"
328056,1013,"P_013","2024-11-09","2024-11-11","2024-11-20",2,"InTransit","XpressBees","Status Not"
327178,1011,"P_019","2024-11-04","2024-11-05","2024-11-12",1,"InTransit","DTDC","Status Not"
371131,1042,"P_001","2025-10-30","2025-11-02","2025-11-12",3,"InTransit","BlueDart","Status Not"
382824,1021,"P_020","2026-01-21","2026-01-23","2026-01-26",1,"InTransit","Delhivery","Status Not"
361643,1042,"P_017","2025-08-10","2025-08-14","2025-08-19",3,"InTransit","Delhivery","Status Not"
302200,1048,"P_010","2024-04-28","2024-04-30","",1,"InTransit","BlueDart","Status Not"
338017,1009,"P_016","2025-02-27","2025-02-28","2025-03-04",1,"InTransit","DTDC","Status Not"
